run_id,scenario_path,scenario_id,episode_index,num_timesteps,train_loss,episode_reward,episode_length,episode_time_sec,episode_train_time_sec,termination_reason,episode_return,goal_progress_ratio,distance_to_goal_region,visual_obstacle_detected,visual_obstacle_pixel_fraction,visual_obstacle_center_fraction,visual_obstacle_nearest_depth,success,collision,wall_collision,out_of_bounds,timeout
20260418_000349_p16560,scenarios/large_pool_dataset_200/train/json/train_env_042.json,train_env_042,41,68379,nan,-2161.50048828125,2133,896.418708,29.44193060000009,goal_reached,-2161.5171942129446,0.9699048088502479,0.23008543239541712,False,0.0,0.0,2.5,True,False,False,False,False
20260418_000349_p16560,scenarios/large_pool_dataset_200/train/json/train_env_043.json,train_env_043,42,70234,nan,-1552.38916015625,1855,921.195471,24.776604799999973,goal_reached,-1552.3941601396948,0.9740683183385123,0.19440282748075,False,0.0,0.0,2.5,True,False,False,False,False
20260418_000349_p16560,scenarios/large_pool_dataset_200/train/json/train_env_044.json,train_env_044,43,70936,nan,-3838.953857421875,702,930.608333,9.412616599999978,persistent_contact_failure,-3838.953316028647,0.20515210574528508,6.095355311071777,False,0.0,0.0,2.5,False,True,False,False,False
20260418_000349_p16560,scenarios/large_pool_dataset_200/train/json/train_env_045.json,train_env_045,44,72681,nan,-10173.705078125,1745,953.820495,23.212520599999948,persistent_contact_failure,-10173.702424872765,0.7654119614678934,1.7209721477652022,False,0.0,0.0,2.5,False,True,False,False,False
20260418_000349_p16560,scenarios/large_pool_dataset_200/train/json/train_env_046.json,train_env_046,45,74627,nan,-3327.46533203125,1946,979.783122,25.962453600000003,goal_reached,-3327.4711891754696,0.9763072164858002,0.18059470904226416,False,0.0,0.0,2.5,True,False,False,False,False
20260418_000349_p16560,scenarios/large_pool_dataset_200/train/json/train_env_047.json,train_env_047,46,76654,nan,-4853.91552734375,2027,1006.021918,26.238977100000056,persistent_contact_failure,-4853.918904480789,0.924911578651234,0.5626250703955427,False,0.0,0.0,2.5,False,False,True,False,False
20260418_000349_p16560,scenarios/large_pool_dataset_200/train/json/train_env_048.json,train_env_048,47,78673,nan,-6962.2705078125,2019,1032.553628,26.53132489999996,persistent_contact_failure,-6962.2732220031385,0.7815520871076266,1.5964906287979026,False,0.0,0.0,2.5,False,False,True,False,False
20260418_000349_p16560,scenarios/large_pool_dataset_200/train/json/train_env_049.json,train_env_049,48,80705,nan,-6786.67626953125,2032,1058.44385,25.890979199999947,persistent_contact_failure,-6786.674097754762,0.9441259026318295,0.41340994672887693,False,0.0,0.0,2.5,False,False,True,False,False
20260418_000349_p16560,scenarios/large_pool_dataset_200/train/json/train_env_050.json,train_env_050,49,82789,nan,-3688.108642578125,2084,1085.209729,26.765137100000175,goal_reached,-3688.1186515674303,0.9862302536057189,0.10248566775640544,False,0.0,0.0,2.5,True,False,False,False,False
20260418_000349_p16560,scenarios/large_pool_dataset_200/train/json/train_env_051.json,train_env_051,50,84726,nan,3919.75634765625,1937,1110.376055,25.167147999999997,goal_reached,3919.754750978355,0.9762239432604274,0.18080384817942763,False,0.0,0.0,2.5,True,False,False,False,False
